Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,198.400,2.753,1.177,2.001,2.490,3.254,4.215,4.688,5.677,17.293,0.363
5,216.600,2.543,0.988,1.875,2.319,2.912,3.882,4.380,5.320,15.558,0.393
10,208.800,2.436,0.890,1.773,2.246,2.852,3.800,4.360,5.018,5.619,0.411
15,217.600,2.436,0.981,1.770,2.257,2.847,3.848,4.360,4.994,5.767,0.411
20,199.000,2.421,0.917,1.764,2.235,2.863,3.722,4.327,5.005,8.513,0.413
25,220.800,2.381,0.888,1.717,2.212,2.814,3.545,4.064,4.808,24.372,0.420
30,202.600,2.390,0.909,1.655,2.148,2.698,3.633,4.137,5.360,26.496,0.418
35,209.400,2.505,0.907,1.684,2.175,2.913,3.890,4.362,9.641,18.347,0.399
40,197.200,2.191,0.947,1.644,2.034,2.497,3.339,3.889,4.519,7.152,0.457
45,208.000,2.180,0.974,1.642,2.037,2.470,3.315,3.976,4.543,5.199,0.459
50,206.600,2.369,0.902,1.685,2.215,2.799,3.724,4.231,4.789,5.211,0.422
55,205.000,2.269,0.964,1.690,2.085,2.611,3.539,3.987,4.759,5.910,0.441
60,38.400,2.359,0.985,1.644,2.183,3.023,3.712,4.125,4.974,5.133,0.424
