Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,16.600,7.578,1.057,1.600,7.052,11.216,15.678,17.470,22.921,22.921,0.132
5,19.200,1.897,1.014,1.235,1.416,1.911,2.958,4.563,9.236,9.236,0.527
10,15.600,1.387,0.988,1.171,1.264,1.561,1.908,2.030,2.374,2.374,0.721
15,18.800,1.376,1.019,1.175,1.260,1.604,1.855,1.914,2.035,2.035,0.727
20,22.600,1.395,0.932,1.150,1.262,1.659,1.900,1.974,2.120,2.162,0.717
25,15.600,1.367,0.998,1.166,1.249,1.607,1.805,1.881,1.941,1.941,0.732
30,19.600,1.402,0.996,1.158,1.307,1.672,1.813,1.893,2.161,2.161,0.713
35,15.000,1.471,0.959,1.129,1.303,1.687,1.845,1.933,5.207,5.207,0.680
40,16.800,1.367,0.957,1.168,1.276,1.513,1.861,1.933,2.037,2.037,0.731
45,19.200,1.296,1.000,1.144,1.234,1.336,1.739,1.816,1.974,1.974,0.772
50,15.200,1.375,1.064,1.165,1.270,1.579,1.811,1.934,2.118,2.118,0.727
55,18.200,1.397,0.874,1.205,1.317,1.641,1.791,1.904,2.025,2.025,0.716
60,4.000,1.384,1.099,1.184,1.301,1.609,1.754,2.037,2.037,2.037,0.723
