Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,417,417.000,436,3054,4877,24045,44528,55780,79423,151552,174536
1,401,401.000,474,2471,4136,25555,45183,58494,126826,161370,334325
2,442,442.000,444,2172,3851,21874,43973,53625,78299,148801,180961
3,450,450.000,408,1870,3753,22264,44054,53858,100038,144462,284338
4,371,371.000,453,2176,3801,27226,44787,62753,129598,193994,207730
5,430,430.000,420,1795,3201,22841,43886,57995,96722,160419,176052
6,472,472.000,440,1879,3217,21605,44021,52733,78787,148441,208177
7,445,445.000,434,2036,3486,22071,44279,51179,79694,159766,182292
8,382,382.000,440,2092,3801,26854,45600,66468,92942,168922,189362
9,440,440.000,399,1629,2901,22254,44078,59855,122546,147296,161665
10,471,471.000,429,1705,2951,21829,44037,57985,122148,159868,181878
11,450,450.000,352,1708,2894,21505,43841,53555,71730,156778,222662
12,469,469.000,410,1707,2809,21861,43834,55932,80897,186584,204082
13,408,408.000,379,1963,3267,24077,44409,63951,122360,167475,206662
14,476,476.000,359,1579,2874,20750,43869,53983,77578,141513,196111
15,487,487.000,334,1619,2821,20578,43782,52689,69523,174607,178976
16,540,540.000,355,1680,2676,18449,43842,47127,66740,126484,200080
17,453,453.000,357,1325,2799,22347,44081,55826,92686,159887,191581
18,452,452.000,371,1625,2941,21891,43914,51217,83866,165210,201050
19,418,418.000,461,1694,2986,24156,44199,55341,123556,147918,188479
20,454,454.000,351,1594,2909,22313,43858,54220,78901,151599,221909
21,439,439.000,370,1702,2791,22501,44024,62374,122096,151688,177186
22,496,496.000,385,1514,2835,19633,43612,48351,70441,149167,231971
23,479,479.000,410,1618,2708,20980,43790,61537,78768,160245,167727
24,427,427.000,412,1703,2800,23969,44081,61835,123555,150858,193361
25,452,452.000,402,1663,2857,21798,44037,53853,78557,156322,196095
26,462,462.000,390,1579,3085,21926,43846,53720,78328,161233,191147
27,417,417.000,400,1874,3076,23900,44177,64084,82327,144106,223480
28,453,453.000,377,1627,2800,21901,44076,58907,79799,144999,200260
29,470,470.000,343,1559,2638,21035,43606,61356,79202,153239,194711
30,493,493.000,354,1537,2611,20367,43540,54002,79931,156117,176329
31,491,491.000,368,1780,2999,20529,43784,52671,78538,147716,198334
32,404,404.000,350,1521,3023,24629,44431,60624,82177,157139,258599
33,496,496.000,378,1516,2673,20221,43676,55924,78828,151086,166504
34,449,449.000,407,1428,2644,22443,44066,60199,81146,154558,191631
35,367,367.000,396,1808,2929,26995,44709,69119,122951,164455,197222
36,496,496.000,356,1410,2598,20008,43553,58754,77960,142199,164083
37,452,452.000,330,1525,2746,22405,44072,62024,79885,139775,165488
38,411,411.000,371,1628,3028,24074,44286,61079,111673,163310,208904
39,448,448.000,390,1596,2587,22683,43453,62898,93950,152807,204961
40,405,405.000,386,1483,3052,24582,43837,63110,124600,146407,202355
41,494,494.000,363,1392,2626,20135,43707,51271,76968,138353,201497
42,516,516.000,319,1347,2530,19712,43561,58516,80529,142366,216585
43,408,408.000,373,1449,2605,23874,44150,64681,123565,150700,190541
44,489,489.000,344,1623,2890,20380,43697,53750,77654,151894,199478
45,461,461.000,373,1395,2788,21701,43909,57010,79040,147650,170694
46,460,460.000,397,1365,2506,21646,43933,61029,80472,139846,200032
47,475,475.000,358,1534,2522,21508,43746,53406,120482,161056,172239
48,522,522.000,347,1527,2485,18846,43342,48087,73273,139011,209589
49,477,477.000,402,1392,2443,21196,43843,60312,79257,156017,193556
50,456,456.000,346,1493,2642,21428,43816,56510,79583,163654,206164
51,438,438.000,333,1336,2453,23360,43697,62570,122357,157596,199251
52,490,490.000,395,1589,2583,20194,43672,49555,76300,155334,193759
53,409,409.000,364,1406,2912,24245,43767,65978,82668,165212,199155
54,436,436.000,402,1657,2869,23141,44373,65230,122252,140474,196911
55,432,432.000,389,1458,2787,23254,44176,63167,121955,154342,181218
56,445,445.000,330,1630,2623,22335,43803,62199,121391,161494,196040
57,479,479.000,361,1420,2705,20858,43385,52549,79267,144046,201011
58,453,453.000,368,1594,2733,21868,44136,54197,78386,136104,165511
59,456,456.000,398,1559,2844,22255,44134,56075,79123,151353,180708
60,442,442.000,369,1563,2628,21094,43759,62470,79127,129328,168654
