Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,325.600,1.805,0.118,0.275,0.466,0.989,6.788,8.086,15.331,68.318,0.554
5,158.800,6.401,0.146,1.719,6.260,7.489,9.380,11.642,60.277,121.339,0.156
10,184.400,4.887,0.137,1.306,5.635,6.689,7.827,8.643,13.118,92.293,0.205
15,197.000,4.243,0.137,1.072,5.271,6.358,7.371,7.902,9.960,17.584,0.236
20,196.200,4.148,0.158,0.994,5.149,6.198,7.011,7.550,11.455,17.018,0.241
25,225.800,4.259,0.135,1.121,5.187,6.166,7.121,8.235,13.488,24.323,0.235
30,194.600,4.220,0.150,0.964,5.118,6.074,6.874,7.680,15.573,49.631,0.237
35,204.800,3.993,0.156,0.884,4.941,5.975,6.850,7.564,11.983,36.137,0.250
40,220.000,3.824,0.153,0.809,4.814,5.842,6.625,7.069,11.216,48.644,0.262
45,221.600,3.682,0.151,0.664,4.636,5.773,6.439,7.115,11.205,40.364,0.272
50,161.600,7.229,0.135,0.768,4.875,6.116,9.858,24.645,91.878,258.338,0.138
55,217.800,3.893,0.143,0.807,4.782,5.747,6.616,7.782,12.588,41.302,0.257
60,38.400,3.934,0.157,0.865,4.719,5.900,6.625,7.156,20.618,32.072,0.254
