Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,3807.800,0.963,0.093,0.314,0.514,1.148,2.330,2.885,4.816,22.972,1.039
5,1745.000,2.402,0.145,1.498,2.121,2.801,3.521,4.288,11.202,63.327,0.416
10,2019.000,2.025,0.132,1.328,1.935,2.572,3.152,3.557,5.563,29.584,0.494
15,2283.200,1.846,0.117,1.179,1.851,2.496,3.039,3.359,3.979,5.430,0.542
20,2234.800,1.825,0.128,1.180,1.840,2.466,2.989,3.319,3.950,6.454,0.548
25,2336.600,1.844,0.122,1.137,1.833,2.492,3.043,3.393,4.420,10.056,0.542
30,2279.400,1.910,0.128,1.078,1.803,2.462,3.042,3.423,7.666,41.165,0.523
35,2385.200,1.813,0.128,1.099,1.777,2.465,3.041,3.420,4.274,9.126,0.551
40,2512.400,1.730,0.108,1.006,1.755,2.396,2.912,3.206,3.794,10.040,0.578
45,2419.400,1.772,0.128,1.078,1.759,2.403,2.914,3.233,4.050,10.902,0.564
50,1822.200,2.342,0.121,1.084,1.809,2.540,3.319,5.494,13.546,128.202,0.427
55,2493.800,1.757,0.109,1.019,1.738,2.423,2.955,3.271,3.955,17.029,0.569
60,501.000,1.706,0.149,0.953,1.707,2.366,2.891,3.185,3.852,11.993,0.586
