Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,3703.800,0.694,0.097,0.319,0.522,0.816,1.335,1.886,3.151,22.377,1.441
5,1682.400,0.850,0.119,0.554,0.678,0.844,1.144,1.597,3.046,136.275,1.176
10,1951.200,0.662,0.143,0.511,0.603,0.730,0.883,1.027,2.001,21.380,1.510
15,2122.800,0.615,0.127,0.508,0.589,0.698,0.813,0.896,1.148,3.718,1.627
20,2156.200,0.608,0.151,0.506,0.588,0.692,0.802,0.874,1.124,3.600,1.643
25,2207.200,0.623,0.138,0.515,0.595,0.706,0.826,0.918,1.203,5.307,1.606
30,2176.400,0.627,0.121,0.505,0.582,0.687,0.798,0.876,1.758,23.108,1.594
35,2268.200,0.616,0.122,0.515,0.595,0.704,0.810,0.889,1.094,3.456,1.623
40,2408.600,0.592,0.122,0.505,0.578,0.676,0.769,0.828,0.977,5.069,1.688
45,2329.200,0.598,0.145,0.505,0.582,0.679,0.775,0.833,1.048,5.280,1.672
50,1794.400,0.737,0.138,0.509,0.589,0.712,0.923,1.941,2.969,82.699,1.358
55,2380.000,0.603,0.127,0.505,0.584,0.686,0.786,0.851,1.033,16.868,1.660
60,483.600,0.584,0.153,0.497,0.574,0.664,0.762,0.831,0.976,1.328,1.712
