Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,8517.800,1.146,0.093,0.317,0.519,0.927,1.941,2.678,7.753,1102.060,0.873
5,3904.000,2.557,0.119,0.651,1.118,2.370,3.594,7.162,30.038,136.275,0.391
10,4524.600,2.203,0.132,0.576,0.900,2.131,3.181,5.977,28.664,92.293,0.454
15,5019.400,1.992,0.117,0.557,0.817,2.019,3.009,4.893,27.983,38.990,0.502
20,4991.000,1.998,0.128,0.549,0.789,1.986,2.966,5.020,28.053,39.191,0.501
25,5172.200,1.934,0.122,0.560,0.806,2.006,3.016,5.083,27.735,48.667,0.517
30,5045.400,1.979,0.121,0.540,0.765,1.975,2.987,5.346,28.018,77.550,0.505
35,5297.800,1.885,0.122,0.553,0.780,1.930,2.957,4.363,27.982,41.042,0.530
40,5579.000,1.793,0.108,0.533,0.732,1.884,2.831,3.859,27.235,48.644,0.558
45,5396.800,1.851,0.128,0.540,0.749,1.907,2.858,4.392,27.286,40.785,0.540
50,4118.200,2.429,0.121,0.544,0.798,2.072,3.247,6.537,29.377,258.338,0.412
55,5518.200,1.809,0.109,0.535,0.747,1.875,2.874,3.955,27.843,41.302,0.553
60,1117.400,1.769,0.137,0.522,0.714,1.815,2.771,3.686,27.716,40.462,0.565
