Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,14243,14243.000,93,295,457,626,697,1334,1880,2618,8610
1,9442,9442.000,104,239,338,1108,563,1014,1490,5531,1102060
2,7605,7605.000,120,420,673,1236,1156,1907,2595,6777,519641
3,7150,7150.000,116,377,583,1396,1074,2499,3187,26649,157138
4,4149,4149.000,152,730,1240,2414,2432,3552,6676,28839,45677
5,4153,4153.000,154,662,1137,2387,2271,3263,6411,28729,36891
6,3837,3837.000,119,646,1131,2608,2370,3622,7711,29944,112880
7,4242,4242.000,166,647,1090,2370,2369,3494,6431,29401,39657
8,4716,4716.000,145,599,906,2102,2137,3164,5774,28719,35465
9,2572,2572.000,204,814,1590,3892,3023,6433,14563,41554,136275
10,4485,4485.000,132,588,947,2218,2171,3236,6044,28379,56877
11,3908,3908.000,140,585,979,2544,2277,3567,7578,29282,92293
12,4644,4644.000,137,560,873,2151,2086,3188,5746,28567,39180
13,4806,4806.000,142,574,871,2085,2068,2985,5395,28036,35588
14,4780,4780.000,151,572,861,2080,2098,3097,4861,28804,39459
15,4810,4810.000,145,570,857,2086,2045,3018,5442,27877,37436
16,5032,5032.000,138,553,814,1971,1993,2908,4525,28073,34635
17,5018,5018.000,117,551,824,2002,1997,3086,5105,28983,38467
18,5178,5178.000,136,554,798,1918,2009,2947,4184,27799,34211
19,5059,5059.000,133,556,802,1986,2059,3120,4446,27678,38990
20,4522,4522.000,136,563,839,2205,2080,3017,5621,28096,38233
21,4757,4757.000,133,554,790,2090,2026,2968,5049,28156,35406
22,5215,5215.000,141,553,823,1917,1998,3048,4773,28558,39191
23,5092,5092.000,140,544,771,1956,2011,2978,5101,27915,36310
24,5369,5369.000,128,540,751,1856,1841,2815,4218,27753,38196
25,5605,5605.000,122,536,744,1794,1911,2820,3858,27095,35200
26,4577,4577.000,138,556,846,2172,2082,3285,5812,29057,48667
27,4970,4970.000,144,575,829,2009,2077,3064,5388,28131,36009
28,5269,5269.000,133,556,778,1894,1998,2929,5026,27279,34700
29,5440,5440.000,135,579,848,1845,1975,3111,4715,27471,39497
30,5362,5362.000,121,528,733,1861,1906,2864,4635,27528,34553
31,4245,4245.000,159,545,823,2355,2067,3232,6729,29383,69321
32,4742,4742.000,134,539,772,2108,2067,3176,5909,28742,77550
33,5184,5184.000,128,540,755,1919,1931,2923,4875,27774,35958
34,5694,5694.000,122,553,767,1754,1926,2872,3717,27309,35448
35,4832,4832.000,155,615,876,2077,2176,3511,5213,30869,41021
36,4997,4997.000,122,548,788,1996,1989,2973,5064,28490,40314
37,5532,5532.000,136,549,764,1808,1907,2816,3661,27281,36674
38,5537,5537.000,128,537,734,1798,1792,2776,3632,27650,41042
39,5591,5591.000,132,542,743,1781,1879,2837,3865,27294,35393
40,5527,5527.000,108,526,727,1813,1888,2830,3751,27416,34588
41,5521,5521.000,114,542,755,1811,1915,2862,3938,27119,37590
42,5699,5699.000,133,520,708,1753,1781,2773,4281,27076,48644
43,5739,5739.000,122,530,723,1733,1859,2809,3514,27173,37226
44,5409,5409.000,151,548,765,1856,1960,2893,4184,27385,35924
45,5247,5247.000,128,555,765,1894,1955,2884,4940,27225,36683
46,5621,5621.000,144,536,744,1781,1856,2755,3673,26884,35776
47,5152,5152.000,144,520,726,1948,1897,2926,5538,27209,40364
48,5366,5366.000,130,528,725,1857,1914,2811,3867,27814,35856
49,5598,5598.000,151,562,784,1783,1926,2936,3965,27199,40785
50,5594,5594.000,131,521,707,1792,1780,2755,3833,27387,34994
51,5437,5437.000,135,543,749,1825,1890,2810,3779,27332,35758
52,4949,4949.000,139,545,792,2028,2005,3185,5423,28314,70992
53,1255,1255.000,176,1085,2159,8042,5767,18068,37990,97729,258338
54,3356,3356.000,121,547,999,2957,2328,5324,10158,34360,120668
55,6021,6021.000,109,508,703,1653,1748,2771,3583,27358,35788
56,5787,5787.000,136,542,749,1718,1853,2926,3864,27458,41302
57,5635,5635.000,146,548,767,1779,1880,2888,3799,27843,37420
58,5339,5339.000,128,535,754,1872,1905,2873,4459,27963,35203
59,4809,4809.000,124,544,775,2074,1982,2953,5142,28121,37090
60,5587,5587.000,137,522,714,1768,1815,2771,3686,27716,40462
