Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,119.200,7.058,4.008,6.031,6.914,7.700,8.902,9.898,13.028,21.972,0.142
5,123.800,6.581,4.081,5.575,6.315,7.177,8.287,9.470,12.475,19.666,0.152
10,131.800,6.320,3.660,5.437,6.122,6.874,7.670,8.713,12.396,19.023,0.158
15,131.800,6.073,3.769,5.287,5.870,6.618,7.353,8.150,10.842,18.438,0.165
20,120.400,5.909,3.447,5.178,5.780,6.482,7.200,7.775,10.214,12.868,0.169
25,133.000,5.958,3.559,5.163,5.764,6.447,7.144,7.791,12.003,15.328,0.168
30,116.600,6.141,3.472,5.178,5.800,6.520,7.374,8.054,19.350,28.543,0.163
35,120.600,6.050,3.477,5.217,5.894,6.625,7.290,8.010,11.107,17.985,0.165
40,116.400,6.010,3.540,5.071,5.810,6.615,7.467,8.426,12.004,15.093,0.166
45,128.000,5.942,3.606,5.133,5.828,6.462,7.237,7.887,11.280,13.669,0.168
50,120.400,5.897,3.518,5.107,5.778,6.457,7.075,7.560,11.639,13.794,0.170
55,127.200,5.916,3.522,5.119,5.743,6.477,7.145,7.708,10.957,14.713,0.169
60,28.200,5.891,3.438,5.132,5.851,6.367,7.046,7.780,11.185,11.604,0.170
