Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,122.600,0.939,0.171,0.674,0.830,1.103,1.429,1.700,3.523,4.023,1.065
5,127.600,0.768,0.179,0.563,0.699,0.873,1.141,1.379,3.192,4.192,1.302
10,129.400,0.705,0.175,0.518,0.660,0.835,1.057,1.289,2.192,3.140,1.418
15,129.800,0.679,0.159,0.396,0.634,0.810,0.969,1.200,2.765,8.641,1.472
20,128.800,0.654,0.174,0.410,0.595,0.781,0.981,1.173,2.445,4.429,1.529
25,125.200,0.614,0.169,0.342,0.588,0.741,0.936,1.109,2.595,4.760,1.630
30,130.800,0.741,0.172,0.311,0.555,0.724,0.926,1.106,3.985,39.336,1.349
35,122.600,0.615,0.175,0.333,0.568,0.749,0.933,1.118,2.780,4.068,1.626
40,114.800,0.536,0.166,0.289,0.511,0.700,0.860,0.992,1.552,3.802,1.865
45,121.000,0.549,0.177,0.294,0.506,0.688,0.866,1.027,2.025,3.836,1.823
50,120.800,0.549,0.180,0.284,0.478,0.672,0.902,1.055,2.046,3.829,1.821
55,130.400,0.524,0.175,0.287,0.447,0.656,0.855,0.999,2.090,3.334,1.907
60,27.000,0.528,0.194,0.290,0.479,0.695,0.785,0.921,1.501,2.417,1.895
