Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,119.800,42.723,36.136,39.871,41.612,44.774,49.120,51.468,55.358,60.186,0.023
5,125.400,41.760,36.234,39.163,40.924,43.534,46.245,49.362,52.997,56.298,0.024
10,124.200,41.522,35.315,38.960,40.896,43.018,46.537,48.706,51.990,55.545,0.024
15,119.800,41.761,35.856,39.240,40.868,43.404,46.711,49.125,52.933,55.243,0.024
20,128.200,41.599,36.045,38.965,40.500,43.189,46.987,49.396,54.193,55.291,0.024
25,123.600,41.361,36.016,39.008,40.535,42.635,46.018,48.321,53.176,55.578,0.024
30,126.800,41.314,35.901,38.895,40.367,42.801,45.976,49.258,53.141,54.787,0.024
35,122.000,43.265,35.611,40.253,42.541,45.439,49.164,52.115,56.121,57.049,0.023
40,131.400,41.892,35.750,38.955,40.584,43.717,48.270,51.403,54.951,58.290,0.024
45,127.800,41.126,35.645,38.931,40.230,42.393,45.967,48.186,52.417,56.181,0.024
50,127.800,41.466,35.266,38.993,40.600,43.188,46.119,48.936,52.937,54.755,0.024
55,127.000,40.905,35.845,38.752,40.067,42.459,45.378,47.364,50.939,56.152,0.024
60,24.000,40.860,36.220,38.466,40.078,42.619,45.343,48.064,51.134,51.959,0.024
