Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,2668,2668.000,320,656,1576,3675,2604,3907,9569,45947,60186
1,3020,3020.000,270,642,1517,3332,2571,3647,7595,44886,55598
2,3058,3058.000,224,603,1383,3252,2472,3615,7460,42654,54369
3,2971,2971.000,174,604,1398,3341,2464,3756,7838,44004,53348
4,2893,2893.000,171,606,1478,3466,2465,3611,7893,45143,56842
5,2787,2787.000,192,565,1334,3559,2404,3755,10350,44697,53347
6,3222,3222.000,200,587,1361,3117,2464,3540,6989,43388,54312
7,3096,3096.000,179,582,1301,3250,2351,3667,7179,43516,56298
8,3024,3024.000,221,582,1400,3281,2419,3659,7143,42690,54261
9,3209,3209.000,181,565,1280,3126,2366,3501,6916,44161,52799
10,3196,3196.000,204,587,1390,3105,2379,3515,6725,43395,52881
11,3151,3151.000,201,571,1361,3174,2393,3401,7040,43849,52324
12,3007,3007.000,175,576,1372,3307,2372,3627,7120,42860,53264
13,3181,3181.000,201,571,1415,3154,2412,3556,6697,42498,55545
14,3039,3039.000,186,575,1306,3302,2401,3635,7164,43417,51572
15,3491,3491.000,159,562,1263,2832,2339,3383,6074,42442,52195
16,3100,3100.000,192,591,1415,3209,2418,3549,6618,43991,55243
17,3133,3133.000,166,572,1358,3191,2394,3558,6675,43519,52889
18,3043,3043.000,171,594,1390,3282,2384,3486,6621,43157,53533
19,3361,3361.000,186,567,1331,2981,2340,3367,6398,42257,53959
20,3156,3156.000,174,564,1385,3187,2437,3569,6345,43206,53442
21,3007,3007.000,190,553,1224,3314,2320,3447,6794,44406,55291
22,3187,3187.000,182,566,1320,3124,2349,3497,6486,42309,54193
23,3152,3152.000,184,573,1306,3180,2333,3350,6480,42830,55289
24,3153,3153.000,187,564,1323,3169,2328,3425,6630,43166,52520
25,3076,3076.000,185,574,1376,3234,2432,3617,6831,42594,53139
26,3175,3175.000,191,566,1252,3135,2392,3527,6282,43792,55578
27,3131,3131.000,220,585,1392,3174,2418,3578,6572,42477,52983
28,3147,3147.000,208,578,1406,3200,2417,3527,6253,42302,53176
29,3310,3310.000,169,577,1294,3005,2405,3368,6252,42089,54979
30,3247,3247.000,181,560,1318,3067,2329,3351,6266,42750,53141
31,3068,3068.000,187,583,1405,3313,2418,3467,6949,43198,54049
32,3130,3130.000,183,571,1277,3146,2396,3381,6310,42811,54787
33,3222,3222.000,195,570,1257,3124,2335,3398,6345,42836,54676
34,3085,3085.000,172,568,1262,3208,2401,3442,7040,41802,54083
35,3146,3146.000,203,581,1356,3217,2450,3454,6831,42991,54470
36,3091,3091.000,215,608,1413,3202,2504,3534,6631,44604,56823
37,3046,3046.000,182,570,1221,3280,2363,3557,6617,45476,56223
38,3038,3038.000,193,597,1395,3288,2443,3587,6403,47383,57049
39,2949,2949.000,175,598,1371,3401,2471,3552,6741,46483,56553
40,2967,2967.000,167,598,1415,3363,2493,3674,7022,48221,58290
41,2900,2900.000,193,576,1295,3439,2445,3592,7305,44480,55861
42,2832,2832.000,178,559,1365,3521,2432,3661,8530,44737,53846
43,2992,2992.000,188,564,1372,3332,2371,3538,6839,43528,53379
44,3085,3085.000,166,564,1300,3245,2381,3461,6939,42751,53971
45,3101,3101.000,177,575,1433,3211,2383,3432,6522,42459,54011
46,3024,3024.000,190,563,1399,3318,2437,3642,6610,42859,56181
47,3103,3103.000,177,565,1286,3232,2350,3618,6727,42390,53381
48,3221,3221.000,191,584,1444,3101,2427,3494,6286,42425,52417
49,3034,3034.000,191,571,1343,3252,2353,3505,6660,42347,52128
50,3074,3074.000,180,589,1403,3277,2403,3549,6766,42796,53009
51,3001,3001.000,180,568,1374,3310,2458,3601,6880,43508,54053
52,3376,3376.000,182,572,1286,2978,2358,3363,6249,43188,54755
53,2925,2925.000,182,549,1251,3404,2356,3453,7187,43524,53346
54,3294,3294.000,189,557,1257,3022,2359,3318,5985,43207,51697
55,3188,3188.000,196,578,1328,3168,2374,3446,6352,42690,56152
56,3002,3002.000,195,582,1445,3297,2397,3568,6828,42895,52714
57,3092,3092.000,191,582,1387,3233,2391,3518,6772,42369,51516
58,3431,3431.000,192,574,1251,2923,2420,3367,6229,41280,49489
59,3040,3040.000,175,578,1349,3262,2411,3527,6529,42459,53522
60,3232,3232.000,194,571,1200,3020,2362,3439,6332,42269,51959
