Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,146.000,34.184,0.109,0.297,0.524,82.737,95.352,106.326,520.802,541.373,0.029
5,122.600,41.436,0.093,0.346,1.685,88.998,97.675,105.265,130.230,153.806,0.024
10,80.400,82.752,0.144,85.412,88.860,94.558,102.067,109.706,124.148,132.300,0.012
15,73.200,91.613,0.279,86.675,89.678,94.665,102.768,108.492,122.928,126.638,0.011
20,72.600,100.575,81.036,87.505,90.327,97.571,110.789,120.742,352.720,364.353,0.010
25,73.800,99.693,81.131,87.245,90.584,97.386,110.557,122.276,332.626,342.295,0.010
30,65.800,116.831,81.318,87.406,91.563,102.062,182.066,339.490,353.265,369.135,0.009
35,70.200,100.624,80.664,87.414,90.574,95.852,107.455,119.322,354.499,360.217,0.010
40,74.800,100.298,80.632,87.339,90.997,98.104,112.356,123.067,344.870,359.944,0.010
45,67.800,115.791,81.245,87.409,91.935,103.306,125.742,338.022,349.455,356.821,0.009
50,73.800,100.494,81.215,87.159,90.990,97.886,110.074,117.184,356.854,368.410,0.010
55,74.600,100.649,80.804,88.039,91.754,99.528,109.208,121.724,331.383,339.072,0.010
60,14.000,94.479,83.482,89.063,92.728,98.204,107.815,114.039,120.494,120.494,0.011
