Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,137.400,9.653,0.186,0.460,0.714,2.396,15.426,47.717,155.755,447.619,0.104
5,116.600,9.519,0.123,0.527,1.558,5.140,19.512,35.562,166.310,383.138,0.105
10,74.600,10.389,0.165,1.588,3.016,7.259,25.106,54.246,130.763,192.215,0.096
15,79.800,7.619,0.341,1.401,2.502,6.791,18.167,36.251,79.378,122.120,0.131
20,75.400,4.052,0.243,1.110,1.668,3.667,8.907,18.176,35.291,59.400,0.247
25,72.400,3.684,0.319,1.023,1.591,3.401,8.228,14.125,34.732,60.709,0.271
30,61.000,5.996,0.260,0.919,1.310,2.525,7.840,14.819,159.699,269.428,0.167
35,64.600,2.071,0.321,0.861,1.172,1.892,3.778,7.040,17.513,45.614,0.483
40,74.800,1.536,0.236,0.750,1.017,1.593,2.754,5.045,7.202,13.286,0.651
45,71.200,1.454,0.230,0.705,0.924,1.397,2.441,5.133,10.183,16.773,0.688
50,86.400,1.468,0.204,0.703,0.934,1.480,3.484,4.360,11.322,14.024,0.681
55,70.600,1.269,0.238,0.669,0.870,1.283,2.825,3.730,5.702,10.916,0.788
60,14.400,1.612,0.327,0.752,1.010,1.668,2.703,5.939,11.283,11.283,0.620
