Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,150.000,1.032,0.127,0.450,0.698,1.261,1.895,3.271,5.032,7.522,0.969
5,120.200,1.189,0.096,0.517,1.134,1.596,2.153,2.709,4.506,5.280,0.841
10,84.400,1.310,0.166,1.117,1.269,1.560,1.753,1.873,3.212,3.968,0.763
15,77.800,1.359,0.188,1.142,1.270,1.618,1.782,1.823,1.983,2.101,0.736
20,73.800,1.344,0.791,1.155,1.281,1.555,1.710,1.800,1.943,1.994,0.744
25,72.600,1.385,0.868,1.160,1.320,1.617,1.749,1.819,1.958,2.015,0.722
30,69.600,1.387,0.929,1.161,1.349,1.593,1.768,1.838,1.933,2.609,0.721
35,75.000,1.370,0.962,1.163,1.318,1.561,1.741,1.823,1.980,2.066,0.730
40,75.200,1.351,0.946,1.152,1.281,1.541,1.715,1.805,1.969,2.021,0.740
45,63.200,1.339,0.901,1.139,1.260,1.547,1.741,1.824,1.888,1.990,0.747
50,76.800,1.336,0.970,1.138,1.260,1.511,1.716,1.817,1.923,2.679,0.748
55,76.800,1.360,0.962,1.151,1.298,1.566,1.727,1.792,1.956,1.966,0.735
60,17.600,1.388,0.992,1.150,1.330,1.629,1.754,1.827,1.920,1.920,0.720
