Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1448.400,2.362,0.954,1.848,2.293,2.797,3.296,3.577,4.119,6.678,0.423
5,1427.600,2.290,0.886,1.776,2.214,2.708,3.178,3.484,4.057,13.040,0.437
10,1431.800,2.267,0.688,1.751,2.177,2.684,3.198,3.502,4.029,17.358,0.441
15,1502.600,2.279,0.753,1.746,2.184,2.682,3.189,3.510,4.158,19.258,0.439
20,1503.600,2.277,0.675,1.753,2.177,2.676,3.149,3.445,3.983,21.188,0.439
25,1482.800,2.240,0.725,1.725,2.166,2.664,3.134,3.461,3.964,13.185,0.446
30,1480.400,2.234,0.849,1.721,2.166,2.664,3.173,3.474,3.963,5.607,0.448
35,1491.800,2.221,0.846,1.710,2.145,2.648,3.157,3.451,3.985,11.984,0.450
40,1504.000,2.207,0.709,1.693,2.130,2.638,3.104,3.411,3.926,13.253,0.453
45,1511.800,2.221,0.777,1.711,2.159,2.655,3.112,3.409,3.979,8.331,0.450
50,1491.000,2.187,0.864,1.686,2.116,2.614,3.087,3.374,3.929,5.190,0.457
55,1534.600,2.208,0.861,1.703,2.144,2.638,3.083,3.373,3.881,5.996,0.453
60,292.000,2.170,0.808,1.669,2.096,2.591,3.055,3.360,3.905,6.401,0.461
