Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,135.200,0.923,0.187,0.703,0.872,1.110,1.376,1.554,1.860,5.673,1.084
5,129.600,0.807,0.167,0.636,0.771,0.943,1.183,1.320,1.602,15.334,1.239
10,117.200,0.747,0.193,0.557,0.726,0.861,1.087,1.225,1.772,15.321,1.340
15,134.800,0.805,0.170,0.481,0.688,0.852,1.066,1.223,1.758,20.906,1.243
20,141.000,0.672,0.165,0.415,0.646,0.778,0.935,1.071,1.569,19.664,1.487
25,130.200,0.691,0.173,0.337,0.597,0.749,0.913,1.047,1.490,24.789,1.447
30,139.000,0.587,0.177,0.323,0.598,0.751,0.909,1.053,1.388,2.665,1.703
35,131.800,0.610,0.173,0.293,0.525,0.717,0.876,1.001,3.377,14.369,1.639
40,140.800,0.638,0.178,0.288,0.502,0.718,0.859,1.004,1.569,22.648,1.568
45,130.200,0.537,0.174,0.290,0.499,0.687,0.828,0.946,1.217,11.135,1.863
50,142.200,0.508,0.172,0.276,0.482,0.672,0.820,0.938,1.278,2.541,1.967
55,133.600,0.496,0.165,0.275,0.414,0.659,0.835,0.957,1.397,2.132,2.015
60,28.400,0.762,0.170,0.291,0.484,0.647,0.894,1.070,10.286,11.282,1.312
