Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,3084,3084.000,331,706,1610,3238,2599,3755,8103,41208,50402
1,3253,3253.000,221,645,1473,3073,2514,3568,7390,37983,49401
2,3226,3226.000,221,649,1512,3078,2512,3532,7468,37703,49272
3,3087,3087.000,207,626,1363,3253,2478,3658,7813,39242,50304
4,3429,3429.000,187,612,1434,2909,2460,3525,6994,39536,50352
5,3175,3175.000,215,623,1470,3142,2518,3791,7991,37742,51537
6,3257,3257.000,167,582,1405,3081,2402,3551,7319,38303,47196
7,3330,3330.000,210,612,1362,2992,2426,3351,7122,38110,47265
8,2980,2980.000,201,603,1380,3342,2435,3734,8160,39532,48035
9,3165,3165.000,223,612,1429,3146,2465,3731,7375,37561,46856
10,3118,3118.000,198,629,1419,3195,2508,3858,7686,38637,51565
11,3256,3256.000,201,588,1353,3091,2368,3566,7277,37942,49362
12,3237,3237.000,201,584,1378,3068,2358,3472,6990,38226,46831
13,3129,3129.000,193,585,1384,3205,2424,3654,7312,39699,49978
14,3182,3182.000,198,581,1406,3126,2444,3545,7222,37681,48420
15,3329,3329.000,198,580,1376,2995,2402,3510,6528,37579,48719
16,3607,3607.000,170,591,1377,2793,2394,3383,6373,36958,46084
17,3208,3208.000,196,575,1244,3098,2340,3551,7187,39295,48420
18,3379,3379.000,174,591,1352,2956,2396,3485,6774,38766,48030
19,3125,3125.000,180,608,1478,3189,2539,3960,7812,37596,64115
20,3217,3217.000,181,579,1344,3102,2439,3694,7847,37102,54393
21,3397,3397.000,208,576,1330,2955,2355,3357,6706,38135,47314
22,3362,3362.000,165,582,1351,2934,2404,3533,6539,37149,48984
23,3305,3305.000,208,585,1384,3027,2425,3493,6611,38508,46569
24,3425,3425.000,187,578,1379,2928,2412,3322,6595,36871,47315
25,3267,3267.000,173,565,1265,3041,2398,3765,7151,39397,71143
26,3409,3409.000,206,586,1505,2947,2473,3452,6517,36595,44478
27,3397,3397.000,187,572,1337,2944,2399,3519,6412,37469,49103
28,3173,3173.000,182,573,1336,3150,2335,3585,7009,39814,51064
29,3216,3216.000,208,573,1355,3112,2394,3566,6914,38800,47321
30,3317,3317.000,181,558,1231,2999,2314,3604,6829,37746,48624
31,3342,3342.000,177,566,1324,3006,2394,3451,6924,37324,47548
32,3474,3474.000,205,576,1365,2855,2401,3416,6166,37125,49490
33,3125,3125.000,182,594,1332,3206,2438,3756,7385,38721,48969
34,3410,3410.000,186,567,1179,2920,2308,3385,6455,38160,48034
35,3362,3362.000,175,560,1252,2969,2324,3376,6417,38866,47880
36,3358,3358.000,174,576,1300,2946,2357,3434,6863,37465,47599
37,3186,3186.000,173,568,1342,3148,2367,3552,7605,38008,48483
38,3146,3146.000,175,572,1383,3199,2392,3676,7365,39585,48871
39,3501,3501.000,176,566,1277,2833,2383,3512,6609,37322,45702
40,3392,3392.000,192,570,1275,2930,2379,3563,6977,38304,53643
41,3329,3329.000,185,548,1308,3007,2311,3498,6906,38328,46905
42,3414,3414.000,189,560,1280,2918,2366,3421,6870,37574,46518
43,3118,3118.000,178,553,1306,3202,2303,3443,7810,39535,49762
44,3525,3525.000,183,567,1330,2832,2369,3355,6366,37760,46888
45,3440,3440.000,181,545,1284,2899,2364,3399,6685,36916,47601
46,3211,3211.000,193,569,1376,3121,2400,3599,7333,38239,48012
47,3389,3389.000,179,567,1363,2943,2358,3496,6634,38381,48855
48,3335,3335.000,188,571,1362,2996,2418,3438,6748,38184,47569
49,3361,3361.000,174,563,1269,2976,2395,3414,6604,37741,49389
50,3164,3164.000,187,566,1329,3148,2342,3499,7110,38669,49430
51,3197,3197.000,177,552,1279,3113,2357,3510,6970,38238,47751
52,3462,3462.000,172,557,1306,2910,2339,3344,6441,38338,48237
53,3363,3363.000,194,564,1337,2957,2336,3279,6444,38091,48687
54,3465,3465.000,184,551,1200,2861,2310,3363,6577,37889,48598
55,3461,3461.000,193,569,1363,2893,2325,3391,6406,37447,46876
56,3543,3543.000,184,557,1265,2816,2315,3282,6390,37774,46680
57,3262,3262.000,165,559,1256,3083,2336,3416,6803,38399,47980
58,3448,3448.000,188,570,1353,2883,2464,3405,6400,38000,46098
59,3388,3388.000,179,568,1383,2961,2404,3518,6745,38252,48254
60,3339,3339.000,170,547,1197,2927,2321,3398,6744,37592,47002
