Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,265.200,7.738,2.732,6.064,6.813,8.314,10.431,12.504,21.239,50.461,0.129
5,375.800,6.093,1.073,4.310,5.866,6.867,8.532,10.255,17.510,42.615,0.164
10,492.600,3.820,0.982,3.229,3.858,4.399,5.067,5.876,8.027,22.930,0.262
15,527.800,3.612,0.945,3.041,3.677,4.144,4.834,5.486,8.087,18.616,0.277
20,459.600,3.986,1.017,3.541,3.904,4.301,4.819,5.287,7.702,14.012,0.251
25,426.000,4.596,1.152,3.520,3.893,4.384,5.572,7.914,16.844,77.047,0.218
30,337.200,7.192,3.214,5.680,6.289,7.090,9.961,11.944,35.415,53.550,0.139
35,192.400,12.299,3.665,5.782,6.352,8.112,37.454,38.322,39.810,53.029,0.081
40,250.400,10.176,3.843,5.806,6.366,7.221,35.994,38.175,40.126,72.149,0.098
45,192.800,13.142,3.800,5.975,6.595,8.902,38.230,38.999,43.005,79.083,0.076
50,191.800,11.808,3.627,5.664,6.558,8.035,37.357,38.934,43.515,90.267,0.085
55,291.200,7.937,3.634,5.664,6.416,6.985,8.208,23.978,39.022,71.470,0.126
60,54.000,10.088,4.100,5.956,6.676,7.250,36.023,37.102,71.916,72.108,0.099
