Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,158.400,6.915,4.337,5.988,6.493,7.253,8.028,8.707,15.247,54.930,0.145
5,145.000,7.428,3.995,5.695,6.288,7.010,8.247,10.976,45.614,83.926,0.135
10,169.200,6.084,3.667,5.377,5.889,6.513,7.181,7.806,11.930,15.390,0.164
15,168.800,5.961,3.455,5.257,5.720,6.417,7.030,7.851,11.524,14.356,0.168
20,158.600,5.792,3.665,5.145,5.665,6.179,6.744,7.183,11.165,16.418,0.173
25,170.000,5.909,3.579,5.190,5.715,6.266,7.071,7.823,11.581,13.990,0.169
30,169.800,5.929,3.584,5.140,5.634,6.302,7.318,8.336,11.766,17.047,0.169
35,167.800,5.923,3.620,5.234,5.690,6.307,6.992,7.722,11.120,24.015,0.169
40,173.400,5.819,3.635,5.203,5.657,6.200,6.815,7.369,10.936,15.726,0.172
45,160.800,5.812,3.564,5.145,5.635,6.222,6.896,7.449,11.004,14.599,0.172
50,159.000,5.916,3.775,5.179,5.671,6.265,7.121,7.982,12.526,13.378,0.169
55,163.200,6.111,3.664,5.279,5.765,6.404,7.399,9.257,13.627,20.396,0.164
60,31.000,5.878,3.867,5.213,5.722,6.185,6.927,7.849,11.174,12.548,0.170
