Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,152.800,23.181,18.940,21.071,22.484,24.401,26.386,27.799,33.894,74.856,0.043
5,144.800,23.559,18.604,21.038,22.467,24.355,26.881,29.410,51.298,68.349,0.042
10,163.200,22.401,18.520,20.763,21.957,23.508,25.322,26.885,29.155,33.120,0.045
15,170.600,22.135,18.415,20.649,21.661,23.163,24.932,26.361,28.613,31.187,0.045
20,171.800,22.170,18.252,20.517,21.649,23.205,25.281,26.971,29.305,33.855,0.045
25,158.600,22.554,18.606,20.907,22.037,23.833,25.637,27.217,29.337,31.694,0.044
30,165.000,22.238,18.441,20.611,21.804,23.382,25.113,26.678,29.134,30.919,0.045
35,163.800,22.246,18.526,20.639,21.793,23.446,25.074,26.554,29.609,33.646,0.045
40,163.400,21.900,18.515,20.547,21.530,22.770,24.246,25.823,28.809,32.747,0.046
45,171.200,22.017,18.707,20.407,21.453,22.994,25.219,26.437,29.584,30.779,0.045
50,163.200,21.999,18.569,20.555,21.444,22.988,24.874,25.980,28.795,32.770,0.045
55,159.400,22.100,18.542,20.547,21.615,23.125,25.045,26.375,29.289,30.820,0.045
60,33.400,21.672,18.740,20.284,21.222,22.539,24.408,25.329,28.369,28.996,0.046
