Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,3777.400,2.642,0.175,0.627,1.506,2.547,3.722,7.833,24.467,74.856,0.379
5,3770.400,2.647,0.156,0.609,1.493,2.542,3.874,7.751,24.460,83.926,0.378
10,4100.200,2.435,0.178,0.581,1.381,2.420,3.456,6.538,23.459,33.120,0.411
15,4076.600,2.448,0.175,0.574,1.390,2.411,3.445,6.581,23.261,31.187,0.409
20,4101.400,2.435,0.174,0.574,1.392,2.394,3.426,6.282,23.336,33.855,0.411
25,4139.000,2.413,0.182,0.581,1.388,2.419,3.500,6.223,23.774,31.694,0.414
30,4125.800,2.421,0.173,0.573,1.346,2.416,3.499,6.472,23.382,30.919,0.413
35,4109.400,2.433,0.167,0.575,1.374,2.435,3.539,6.415,23.446,33.646,0.411
40,4196.000,2.379,0.177,0.571,1.374,2.396,3.427,6.236,22.723,32.747,0.420
45,4101.000,2.437,0.178,0.577,1.374,2.418,3.466,6.476,23.140,30.779,0.410
50,4165.400,2.400,0.175,0.583,1.404,2.426,3.435,6.265,22.957,32.770,0.417
55,4099.600,2.438,0.176,0.588,1.397,2.472,3.602,6.421,23.071,30.820,0.410
60,826.200,2.384,0.192,0.574,1.377,2.413,3.336,6.242,22.539,28.996,0.419
