Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,94.400,12.612,5.546,8.540,9.713,11.237,12.959,15.779,108.747,349.532,0.079
5,125.800,8.751,4.525,7.339,8.422,9.583,10.911,12.086,16.165,40.275,0.114
10,124.800,8.167,4.343,6.971,7.925,8.881,10.253,11.756,14.625,20.358,0.122
15,124.800,7.667,4.016,6.598,7.396,8.306,9.521,10.687,14.569,16.573,0.130
20,132.800,7.382,4.109,6.319,7.145,7.994,9.067,10.168,13.350,19.714,0.135
25,118.000,9.630,3.400,6.219,6.932,8.177,11.073,16.323,65.135,303.663,0.104
30,86.200,17.583,4.216,5.981,6.820,8.233,32.634,88.667,226.510,281.495,0.057
35,68.800,29.311,3.850,5.962,6.867,12.960,98.067,148.751,262.956,326.312,0.034
40,133.000,6.597,4.011,5.588,6.345,7.263,8.150,9.121,13.094,15.607,0.152
45,136.000,6.870,3.391,5.668,6.313,7.240,8.096,10.985,19.644,46.569,0.146
50,125.200,7.212,3.922,5.586,6.325,7.136,8.249,10.244,41.866,58.741,0.139
55,140.800,6.658,3.885,5.647,6.309,7.078,8.190,10.836,13.464,18.821,0.150
60,28.000,6.551,3.941,5.515,6.168,6.914,8.308,10.481,12.288,20.458,0.153
