Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1109.600,3.522,0.995,2.340,2.921,3.607,4.360,5.177,16.803,119.317,0.284
5,1421.600,2.578,0.900,2.012,2.489,3.034,3.564,3.883,4.527,21.078,0.388
10,1416.000,2.441,0.865,1.900,2.371,2.897,3.404,3.730,4.286,6.169,0.410
15,1471.600,2.375,0.813,1.848,2.307,2.824,3.308,3.651,4.167,5.571,0.421
20,1509.400,2.350,0.907,1.837,2.293,2.797,3.247,3.517,4.068,5.067,0.425
25,1298.200,3.054,0.798,1.845,2.314,2.858,3.471,4.059,11.942,265.465,0.327
30,1021.600,3.726,0.869,1.817,2.292,2.900,4.292,9.226,36.506,194.740,0.268
35,753.400,4.814,0.748,1.856,2.394,3.364,8.607,21.130,40.150,115.172,0.208
40,1476.400,2.264,0.828,1.755,2.192,2.686,3.170,3.463,4.060,9.060,0.442
45,1506.400,2.300,0.843,1.756,2.198,2.701,3.210,3.534,4.558,16.449,0.435
50,1466.600,2.362,0.877,1.744,2.178,2.681,3.181,3.547,6.998,39.463,0.423
55,1600.800,2.233,0.755,1.724,2.161,2.654,3.098,3.412,3.951,13.324,0.448
60,325.400,2.210,0.881,1.732,2.149,2.587,3.074,3.357,3.906,6.885,0.453
