Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1041.400,0.917,0.352,0.611,0.732,0.905,1.155,1.584,3.572,88.587,1.091
5,1335.000,0.674,0.322,0.520,0.630,0.765,0.927,1.040,1.439,9.834,1.483
10,1342.600,0.634,0.301,0.500,0.597,0.729,0.864,0.971,1.250,4.537,1.577
15,1424.000,0.616,0.297,0.489,0.576,0.700,0.826,0.926,1.252,3.455,1.625
20,1431.400,0.613,0.318,0.494,0.575,0.695,0.812,0.906,1.201,4.917,1.632
25,1240.600,0.689,0.287,0.499,0.583,0.716,0.870,1.126,2.477,35.843,1.451
30,943.000,0.876,0.262,0.479,0.563,0.709,1.053,2.152,3.345,106.166,1.141
35,708.800,0.996,0.276,0.483,0.589,0.789,1.862,2.378,3.577,79.991,1.004
40,1473.800,0.586,0.307,0.473,0.546,0.656,0.764,0.841,1.087,7.607,1.705
45,1460.400,0.584,0.308,0.473,0.548,0.656,0.757,0.837,1.118,9.683,1.712
50,1365.200,0.610,0.274,0.473,0.547,0.659,0.773,0.858,1.791,20.805,1.641
55,1576.200,0.575,0.307,0.476,0.548,0.647,0.747,0.808,1.011,6.517,1.739
60,307.800,0.579,0.311,0.472,0.541,0.646,0.749,0.798,0.986,6.422,1.728
