Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,103.600,35.757,29.199,32.071,33.693,36.555,40.462,43.120,95.433,109.273,0.028
5,123.200,34.258,29.299,31.906,33.457,35.840,38.976,40.732,43.424,46.733,0.029
10,134.000,33.948,29.408,31.853,33.245,35.445,38.219,40.113,42.941,45.122,0.029
15,134.400,34.010,29.366,31.876,33.338,35.330,38.132,40.431,43.459,44.918,0.029
20,133.600,33.799,29.570,31.913,33.300,34.932,37.232,39.343,42.414,44.003,0.030
25,108.200,35.127,29.118,32.058,33.288,35.410,38.680,41.688,96.753,103.369,0.028
30,89.400,38.288,28.480,32.120,33.803,36.405,42.522,84.659,105.080,106.953,0.026
35,65.000,43.140,27.856,32.276,34.186,38.940,91.841,100.990,107.481,108.915,0.023
40,141.400,34.182,29.371,31.981,33.474,35.492,38.460,40.836,43.345,43.942,0.029
45,135.000,34.452,29.753,32.070,33.722,35.861,39.188,41.418,44.626,47.381,0.029
50,134.200,34.610,29.156,32.107,33.423,35.499,38.716,40.941,69.023,78.163,0.029
55,132.600,34.079,29.389,32.114,33.510,35.494,37.869,39.400,42.770,44.346,0.029
60,25.000,33.972,29.865,32.354,33.490,35.126,37.438,38.973,42.319,42.932,0.029
