Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,2447.200,4.083,0.210,0.770,1.978,3.273,6.213,16.733,38.104,349.532,0.245
5,3127.600,3.194,0.183,0.659,1.627,2.751,3.961,9.602,35.778,46.733,0.313
10,3140.800,3.174,0.190,0.622,1.515,2.612,3.828,9.310,35.615,45.122,0.315
15,3286.200,3.041,0.179,0.599,1.439,2.528,3.669,8.389,35.424,44.918,0.329
20,3340.800,2.995,0.170,0.593,1.444,2.534,3.557,7.989,34.927,44.003,0.334
25,2881.200,3.464,0.167,0.602,1.526,2.584,4.191,9.924,36.339,303.663,0.289
30,2225.400,4.512,0.179,0.584,1.626,2.651,6.550,31.119,54.435,281.495,0.222
35,1668.600,5.955,0.165,0.618,1.735,2.859,9.458,32.784,92.539,326.312,0.168
40,3360.600,2.974,0.176,0.554,1.311,2.410,3.552,7.536,35.832,43.942,0.336
45,3362.200,2.971,0.177,0.559,1.355,2.434,3.609,7.490,35.891,47.381,0.337
50,3217.200,3.105,0.174,0.563,1.411,2.427,3.683,8.180,35.989,78.163,0.322
55,3592.800,2.786,0.162,0.554,1.291,2.362,3.388,6.851,35.343,44.346,0.359
60,716.600,2.716,0.179,0.552,1.317,2.341,3.320,6.502,34.852,42.932,0.368
