Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,Q1,1745727868.320225,1982533,0,1
2,Q2,1745727870.863138,404945,0,1
3,Q3,1745727871.582565,236501,0,1
4,Q4,1745727871.930025,113226,0,1
5,Q5,1745727872.380561,416817,0,1
6,Q6,1745727873.128466,242921,0,1
7,Q7,1745727873.818683,463535,0,1
8,Q8,1745727874.729782,432834,0,1
9,Q9,1745727875.299110,238222,0,1
10,Q10,1745727875.814912,296903,0,1
11,Q11,1745727876.168772,55358,0,1
12,Q12,1745727876.319733,182559,0,1
13,Q13,1745727877.228352,685795,0,1
14,Q14,1745727878.143414,241135,0,1
15,Q15,1745727878.866101,480902,0,1
16,Q16,1745727879.858376,375339,0,1
17,Q17,1745727880.694426,481094,0,1
18,Q18,1745727883.009721,1882281,0,1
19,Q19,1745727884.929487,35526,0,1
20,Q20,1745727885.150929,174626,0,1
21,Q21,1745727885.826708,459710,0,1
22,Q22,1745727886.351993,65927,0,1
