Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,1,1.000,2762826,2762826,2762826,2762826,2762826,2762826,2762826,2762826,2762826
1,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,1,1.000,151449,151449,151449,151449,151449,151449,151449,151449,151449
3,1,1.000,355066,355066,355066,355066,355066,355066,355066,355066,355066
4,2,2.000,108051,108051,455097,281574,455097,455097,455097,455097,455097
5,1,1.000,214339,214339,214339,214339,214339,214339,214339,214339,214339
6,1,1.000,780920,780920,780920,780920,780920,780920,780920,780920,780920
7,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,1,1.000,927089,927089,927089,927089,927089,927089,927089,927089,927089
9,1,1.000,555419,555419,555419,555419,555419,555419,555419,555419,555419
10,1,1.000,326149,326149,326149,326149,326149,326149,326149,326149,326149
11,2,2.000,63528,63528,265878,164703,265878,265878,265878,265878,265878
12,2,2.000,228481,228481,542896,385688,542896,542896,542896,542896,542896
13,1,1.000,311628,311628,311628,311628,311628,311628,311628,311628,311628
14,2,2.000,118918,118918,485290,302104,485290,485290,485290,485290,485290
15,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
16,1,1.000,1334726,1334726,1334726,1334726,1334726,1334726,1334726,1334726,1334726
17,2,2.000,34354,34354,179699,107026,179699,179699,179699,179699,179699
18,1,1.000,452428,452428,452428,452428,452428,452428,452428,452428,452428
19,1,1.000,52562,52562,52562,52562,52562,52562,52562,52562,52562
