Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,Q1,1745033559.418568,6726090,0,1
2,Q2,1745033566.461843,203221,0,1
3,Q3,1745033568.359243,1501011,0,1
4,Q4,1745033570.012824,150015,0,1
5,Q5,1745033570.545831,388373,0,1
6,Q6,1745033571.523896,484765,0,1
7,Q7,1745033572.423214,441580,0,1
8,Q8,1745033573.447398,574392,0,1
9,Q9,1745033575.125150,1045536,0,1
10,Q10,1745033576.494401,326077,0,1
11,Q11,1745033576.877004,53921,0,1
12,Q12,1745033577.631503,716109,0,1
13,Q13,1745033579.355257,1059976,0,1
14,Q14,1745033580.533737,113524,0,1
15,Q15,1745033581.030571,376943,0,1
16,Q16,1745033581.807936,402063,0,1
17,Q17,1745033582.280267,79066,0,1
18,Q18,1745033584.275445,1912967,0,1
19,Q19,1745033586.228393,112515,0,1
20,Q20,1745033586.575054,177546,0,1
21,Q21,1745033587.221295,451772,0,1
22,Q22,1745033587.780942,107291,0,1
