Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,1,1.000,6726090,6726090,6726090,6726090,6726090,6726090,6726090,6726090,6726090
1,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,1,1.000,203221,203221,203221,203221,203221,203221,203221,203221,203221
8,1,1.000,1501011,1501011,1501011,1501011,1501011,1501011,1501011,1501011,1501011
9,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,1,1.000,150015,150015,150015,150015,150015,150015,150015,150015,150015
11,1,1.000,388373,388373,388373,388373,388373,388373,388373,388373,388373
12,1,1.000,484765,484765,484765,484765,484765,484765,484765,484765,484765
13,1,1.000,441580,441580,441580,441580,441580,441580,441580,441580,441580
14,1,1.000,574392,574392,574392,574392,574392,574392,574392,574392,574392
15,1,1.000,1045536,1045536,1045536,1045536,1045536,1045536,1045536,1045536,1045536
16,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
17,2,2.000,53921,53921,326077,189999,326077,326077,326077,326077,326077
18,1,1.000,716109,716109,716109,716109,716109,716109,716109,716109,716109
19,1,1.000,1059976,1059976,1059976,1059976,1059976,1059976,1059976,1059976,1059976
20,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
21,2,2.000,113524,113524,376943,245233,376943,376943,376943,376943,376943
22,2,2.000,79066,79066,402063,240564,402063,402063,402063,402063,402063
23,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
24,1,1.000,1912967,1912967,1912967,1912967,1912967,1912967,1912967,1912967,1912967
25,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
26,1,1.000,112515,112515,112515,112515,112515,112515,112515,112515,112515
27,2,2.000,177546,177546,451772,314659,451772,451772,451772,451772,451772
28,1,1.000,107291,107291,107291,107291,107291,107291,107291,107291,107291
