Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1719.800,0.694,0.311,0.525,0.602,0.711,0.832,0.936,2.019,70.727,1.440
5,1803.400,0.596,0.291,0.499,0.567,0.667,0.772,0.841,1.026,8.497,1.677
10,1776.600,0.588,0.302,0.493,0.560,0.658,0.760,0.822,1.013,7.591,1.700
15,1866.800,0.575,0.306,0.490,0.554,0.645,0.734,0.788,0.898,2.816,1.740
20,1877.600,0.583,0.297,0.496,0.561,0.652,0.741,0.797,0.920,3.964,1.716
25,1722.600,0.656,0.351,0.562,0.633,0.726,0.824,0.880,1.002,8.465,1.525
30,1623.000,0.759,0.405,0.660,0.740,0.841,0.945,1.008,1.133,3.870,1.317
35,1642.400,0.856,0.497,0.745,0.835,0.952,1.059,1.121,1.251,3.397,1.168
40,1517.600,0.958,0.536,0.833,0.937,1.061,1.184,1.252,1.396,8.710,1.044
45,1455.000,1.061,0.551,0.919,1.042,1.186,1.313,1.384,1.518,9.190,0.943
50,1688.600,0.684,0.342,0.568,0.647,0.757,0.879,0.988,1.387,3.316,1.461
55,1755.200,0.673,0.342,0.574,0.653,0.756,0.857,0.914,1.023,6.654,1.485
