Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,62.600,21.498,5.244,9.419,22.011,28.861,31.244,48.070,61.407,137.770,0.047
5,56.000,26.740,4.982,26.432,27.903,29.128,30.762,45.621,57.125,57.212,0.037
10,51.800,24.518,5.302,24.208,26.501,27.851,29.084,36.462,51.896,70.573,0.041
15,51.600,27.187,5.695,25.878,26.936,27.963,29.368,49.177,55.051,58.720,0.037
20,53.200,27.133,11.038,25.898,27.091,28.084,29.282,34.084,50.171,64.724,0.037
25,46.200,26.856,4.896,25.781,26.934,28.080,29.539,44.653,56.990,59.745,0.037
30,54.800,23.690,5.081,24.496,26.532,27.695,28.748,29.687,50.583,53.017,0.042
35,49.000,25.694,5.960,25.577,26.749,27.900,28.976,29.569,44.714,52.513,0.039
40,68.800,19.024,5.185,6.789,25.067,27.252,28.665,29.411,42.446,72.537,0.053
45,57.400,23.777,4.699,22.851,26.602,27.753,29.089,33.560,53.902,56.768,0.042
50,51.400,26.544,5.655,25.503,26.878,27.984,29.023,44.527,56.895,71.097,0.038
55,48.600,26.895,4.827,25.673,26.863,27.908,29.233,32.637,53.021,56.885,0.037
