Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,67.000,1.570,0.273,0.841,1.495,1.912,2.434,2.938,4.045,31.772,0.637
5,50.600,1.551,0.268,1.397,1.599,1.815,2.025,2.207,2.932,3.740,0.645
10,53.800,1.345,0.236,1.186,1.464,1.673,1.873,2.039,2.378,2.753,0.743
15,50.400,1.534,0.365,1.350,1.531,1.739,1.970,2.111,2.693,3.285,0.652
20,44.200,1.554,0.487,1.382,1.567,1.753,1.915,2.074,2.430,3.239,0.644
25,53.600,1.504,0.242,1.338,1.533,1.693,1.969,2.122,2.683,3.040,0.665
30,60.400,1.363,0.205,1.203,1.476,1.680,1.889,1.987,2.238,2.942,0.734
35,53.600,1.518,0.351,1.337,1.512,1.733,1.934,2.050,2.278,2.364,0.659
40,68.800,1.135,0.214,0.460,1.340,1.561,1.813,1.917,2.210,2.627,0.881
45,59.000,1.354,0.213,1.142,1.453,1.695,1.943,2.136,2.401,2.828,0.739
50,51.200,1.429,0.288,1.256,1.460,1.689,1.925,2.072,2.417,2.803,0.700
55,52.200,1.501,0.284,1.320,1.489,1.730,1.910,2.036,2.442,2.787,0.666
