Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,200.800,3.486,1.014,1.915,2.492,3.347,4.394,5.075,32.146,90.689,0.287
5,187.600,2.381,1.032,1.743,2.201,2.753,3.695,4.241,4.952,5.274,0.420
10,214.000,2.276,0.959,1.698,2.106,2.655,3.463,4.052,5.145,6.353,0.439
15,218.000,2.266,1.006,1.612,2.108,2.638,3.511,4.111,4.779,6.962,0.441
20,206.600,2.136,0.785,1.537,1.979,2.472,3.325,3.967,4.604,4.957,0.468
25,200.000,2.222,0.819,1.610,2.057,2.593,3.492,3.953,4.652,5.137,0.450
30,197.000,2.198,0.751,1.573,2.013,2.572,3.434,4.076,4.746,5.919,0.455
35,211.600,2.194,0.945,1.593,2.045,2.517,3.396,3.946,4.733,9.721,0.456
40,193.000,2.168,0.894,1.558,2.035,2.495,3.404,3.914,4.684,7.872,0.461
45,197.600,2.153,0.940,1.576,1.959,2.465,3.476,3.990,4.593,5.026,0.464
50,183.600,2.265,0.959,1.605,2.048,2.608,3.651,4.151,4.634,11.486,0.442
55,205.200,2.156,0.967,1.562,2.028,2.520,3.280,3.866,4.568,6.575,0.464
