Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,66.600,4.538,1.277,2.483,4.170,6.259,7.139,7.656,9.407,43.416,0.220
5,62.800,5.097,1.261,3.469,5.962,6.568,6.996,7.411,7.889,9.722,0.196
10,59.200,5.416,1.328,5.297,6.038,6.563,6.986,7.335,8.133,10.690,0.185
15,43.200,6.421,5.254,6.004,6.376,6.736,7.203,7.613,7.821,8.243,0.156
20,46.800,6.317,2.556,5.920,6.304,6.749,7.184,7.442,7.901,8.630,0.158
25,47.200,6.438,4.254,5.986,6.359,6.851,7.280,7.561,7.962,8.063,0.155
30,50.200,5.994,1.400,5.777,6.205,6.695,7.119,7.401,8.053,8.410,0.167
35,49.000,6.370,4.928,5.914,6.281,6.743,7.319,7.520,8.000,8.727,0.157
40,49.400,6.422,5.174,5.975,6.408,6.780,7.237,7.537,7.954,8.334,0.156
45,50.800,6.385,5.191,5.980,6.387,6.753,7.149,7.312,7.885,8.443,0.157
50,54.000,6.344,5.307,5.932,6.308,6.645,7.105,7.276,7.628,7.812,0.158
55,44.800,6.459,4.993,6.050,6.410,6.836,7.223,7.485,7.887,8.047,0.155
