Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1770.400,5.638,0.298,2.281,3.859,7.059,12.312,15.034,28.701,130.927,0.177
5,1514.600,6.579,0.215,2.945,4.119,9.704,14.025,16.031,28.960,37.955,0.152
10,1430.600,6.977,0.187,3.324,4.191,10.188,14.230,16.003,28.458,58.300,0.143
15,1195.200,8.334,1.073,3.705,6.828,11.965,14.864,16.430,28.550,57.029,0.120
20,1225.800,8.142,0.424,3.664,6.332,11.653,14.719,16.326,28.564,55.913,0.123
25,1209.000,8.242,0.894,3.692,6.703,11.777,14.819,16.483,28.438,57.110,0.121
30,1303.400,7.653,0.201,3.505,4.894,11.272,14.511,16.035,28.361,63.029,0.131
35,1201.000,8.302,0.961,3.642,6.540,11.768,14.932,17.078,28.310,54.276,0.120
40,1212.200,8.225,1.030,3.645,6.609,11.789,14.828,16.510,28.502,56.109,0.122
45,1212.000,8.227,1.004,3.638,6.581,11.781,14.779,16.526,28.082,57.912,0.122
50,1213.400,8.217,0.965,3.655,6.820,11.656,14.686,16.473,28.301,56.589,0.122
55,1210.000,8.225,0.993,3.633,6.865,11.859,14.774,16.164,28.236,73.122,0.122
