Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,2159,2159.000,457,1986,3215,4643,5179,8095,11041,26196,130927
1,1442,1442.000,497,3369,4456,6884,9824,14320,16547,30396,33337
2,2384,2384.000,298,1722,3039,4201,4820,8989,12085,17194,32350
3,1504,1504.000,333,2811,4224,6606,9635,13939,16186,28813,51413
4,1363,1363.000,518,3480,4776,7339,10557,14579,16375,29261,31675
5,1128,1128.000,1249,3887,7159,8823,12797,15768,17929,29662,35851
6,1136,1136.000,1053,3935,7857,8799,12395,15699,17063,29497,31466
7,1221,1221.000,552,3791,6201,8150,11686,14835,16556,28914,31741
8,1672,1672.000,262,2539,3919,5947,8295,12881,14962,28121,37955
9,2416,2416.000,215,1565,2993,4128,4509,9185,12124,16718,31100
10,1682,1682.000,229,2554,3852,5938,8519,13167,15048,28283,31398
11,1889,1889.000,187,2079,3644,5297,6697,12078,14558,26725,58300
12,1199,1199.000,1122,3704,6048,8318,12080,15229,17287,28546,29820
13,1197,1197.000,1158,3754,6819,8298,11718,14843,16484,28893,35333
14,1186,1186.000,1016,3731,6439,8433,11857,15076,18825,28834,31709
15,1237,1237.000,1167,3713,5700,8042,11517,14741,16240,28516,55871
16,1189,1189.000,1142,3705,7168,8387,11989,14898,16324,28550,30599
17,1184,1184.000,1073,3688,7343,8437,12154,14986,16279,28363,29727
18,1180,1180.000,1173,3699,6792,8445,11976,14771,21025,28860,34142
19,1186,1186.000,1102,3710,7110,8371,12058,14749,16111,28535,57029
20,1204,1204.000,1108,3676,6488,8274,12022,14913,16355,28699,55913
21,1288,1288.000,424,3613,6118,7760,11225,14248,15910,28346,29973
22,1211,1211.000,1118,3652,6723,8250,11731,14864,16567,28699,52196
23,1184,1184.000,1121,3693,6797,8408,12016,14878,16719,28680,30022
24,1242,1242.000,1053,3679,6307,8050,11438,14590,16264,28080,30184
25,1228,1228.000,999,3709,6661,8079,11672,14552,16010,28275,52980
26,1181,1181.000,1095,3708,7205,8479,12105,15095,16281,28650,50808
27,1253,1253.000,894,3637,5905,7937,11449,14295,16268,27870,54947
28,1212,1212.000,998,3693,6271,8209,11608,14820,17067,28634,34013
29,1171,1171.000,1189,3717,7514,8530,11982,15055,16898,28539,57110
30,1160,1160.000,1143,3728,7327,8605,12292,14920,16589,28805,56320
31,1517,1517.000,298,3130,4256,6542,9256,13517,14894,27832,30615
32,1401,1401.000,201,3200,4145,7147,10586,14491,16145,28744,63029
33,1187,1187.000,1064,3656,6695,8405,12149,15069,16694,28207,53690
34,1252,1252.000,1036,3624,6307,7971,11606,14628,16019,28004,30416
35,1217,1217.000,1096,3649,6015,8166,11606,14791,16158,27971,31904
36,1192,1192.000,961,3626,7267,8366,11918,14764,16454,28312,54276
37,1197,1197.000,1171,3664,6150,8322,11561,15127,25515,28465,30622
38,1219,1219.000,1050,3655,6239,8173,11649,14975,16961,28252,30166
39,1180,1180.000,1116,3609,6984,8487,12069,15094,24747,28565,52602
40,1242,1242.000,1114,3658,6160,8020,11604,14386,16185,28927,50924
41,1210,1210.000,1157,3695,6614,8242,12067,14899,16244,28159,29265
42,1209,1209.000,1044,3632,6631,8228,11878,14824,16346,28319,30835
43,1173,1173.000,1101,3645,7161,8529,11872,15181,22584,28740,56109
44,1227,1227.000,1030,3584,6615,8121,11582,14770,16395,28248,29741
45,1192,1192.000,1156,3679,6859,8371,12025,14828,16299,27972,57912
46,1235,1235.000,1029,3627,6119,8054,11511,14666,16075,28265,52096
47,1208,1208.000,1179,3634,6433,8255,12108,14846,16327,27843,30747
48,1183,1183.000,1074,3608,7143,8422,12052,15122,18322,28519,29830
49,1242,1242.000,1004,3651,6295,8046,11220,14454,16684,27909,31538
50,1216,1216.000,1050,3674,6892,8185,11535,14678,16340,28286,48256
51,1205,1205.000,965,3642,7094,8288,11811,14610,16632,28094,56589
52,1240,1240.000,1074,3670,6451,8037,11574,14586,16055,27696,31477
53,1202,1202.000,1140,3682,6635,8295,11621,14748,17139,28814,51756
54,1204,1204.000,1027,3614,7120,8283,11828,14798,16534,28641,33316
55,1195,1195.000,994,3673,6920,8350,11804,14919,16792,28322,51288
56,1226,1226.000,993,3631,6931,8139,11647,14717,15849,28019,52797
57,1200,1200.000,993,3665,7163,8356,12058,14803,16732,28232,29948
58,1189,1189.000,1143,3613,6662,8371,12259,15138,16893,28533,73122
59,1240,1240.000,1035,3580,6720,7918,11375,14316,15636,27553,56435
