Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,Q1,1738559981.489043,1867064,0,1
2,Q2,1738559983.894348,321176,0,1
3,Q3,1738559984.532339,298967,0,1
4,Q4,1738559984.965314,134030,0,1
5,Q5,1738559985.891857,718218,0,1
6,Q6,1738559986.920348,309740,0,1
7,Q7,1738559988.467352,1336924,0,1
8,Q8,1738559990.439904,624575,0,1
9,Q9,1738559991.682453,615170,0,1
10,Q10,1738559992.555837,258097,0,1
11,Q11,1738559992.970786,180488,0,1
12,Q12,1738559993.527889,371065,0,1
13,Q13,1738559994.202430,313532,0,1
14,Q14,1738559994.619970,103630,0,1
15,Q15,1738559995.156550,543546,0,1
16,Q16,1738559995.912008,295990,0,1
17,Q17,1738559996.773272,590414,0,1
18,Q18,1738559999.420780,2009525,0,1
19,Q19,1738560001.471735,123775,0,1
20,Q20,1738560002.118451,478254,0,1
21,Q21,1738560003.485531,856908,0,1
22,Q22,1738560004.411525,70001,0,1
