Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,Q1,1738616431.687274,981702,0,1
2,Q2,1738616433.589096,813127,0,1
3,Q3,1738616434.667657,300260,0,1
4,Q4,1738616435.127660,100157,0,1
5,Q5,1738616435.456810,227536,0,1
6,Q6,1738616435.875149,195247,0,1
7,Q7,1738616436.663396,626051,0,1
8,Q8,1738616437.599100,307870,0,1
9,Q9,1738616438.372944,408949,0,1
10,Q10,1738616439.180008,434349,0,1
11,Q11,1738616439.737703,66979,0,1
12,Q12,1738616440.011506,215616,0,1
13,Q13,1738616440.511595,298284,0,1
14,Q14,1738616440.901794,126214,0,1
15,Q15,1738616441.389700,322581,0,1
16,Q16,1738616441.893701,275952,0,1
17,Q17,1738616442.652905,506253,0,1
18,Q18,1738616445.208668,2013288,0,1
19,Q19,1738616447.261998,38475,0,1
20,Q20,1738616447.560471,237519,0,1
21,Q21,1738616448.441047,619813,0,1
22,Q22,1738616449.140080,77063,0,1
