Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,1,1.000,981702,981702,981702,981702,981702,981702,981702,981702,981702
1,1,1.000,813127,813127,813127,813127,813127,813127,813127,813127,813127
2,1,1.000,300260,300260,300260,300260,300260,300260,300260,300260,300260
3,2,2.000,100157,100157,227536,163846,227536,227536,227536,227536,227536
4,2,2.000,195247,195247,626051,410649,626051,626051,626051,626051,626051
5,1,1.000,307870,307870,307870,307870,307870,307870,307870,307870,307870
6,1,1.000,408949,408949,408949,408949,408949,408949,408949,408949,408949
7,1,1.000,434349,434349,434349,434349,434349,434349,434349,434349,434349
8,3,3.000,66979,66979,215616,193626,298284,298284,298284,298284,298284
9,2,2.000,126214,126214,322581,224397,322581,322581,322581,322581,322581
10,2,2.000,275952,275952,506253,391102,506253,506253,506253,506253,506253
11,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
12,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
13,1,1.000,2013288,2013288,2013288,2013288,2013288,2013288,2013288,2013288,2013288
14,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
15,2,2.000,38475,38475,237519,137997,237519,237519,237519,237519,237519
16,1,1.000,619813,619813,619813,619813,619813,619813,619813,619813,619813
17,1,1.000,77063,77063,77063,77063,77063,77063,77063,77063,77063
